,mean,sigma
eta_Wind,0.17571871056776914,0.1664003145335631
eta_Solar,0.16579888247304556,0.08673917203109913
Wind Speed [m/s],6.896800595238095,2.990781030732709
Global Tilted Irradiance [W/m2],135.96548763736263,233.89491257371446
