date0;time0;power-ss13-max;power-ss13-min;power-ss13-ave;date1;time1;power-gen-max;power-gen-min;power-gen-ave;date2;time2;power-con-max;power-con-min;power-con-ave;date3;time3;power-gen-wt-max;power-gen-wt-min;power-gen-wt-ave;date4;time4;power-gen-pv-max;power-gen-pv-min;power-gen-pv-ave;date5;time5;storage-charge-max;storage-charge-min;storage-charge-ave
03/01/2022;12:00:00 am;;;;;;;;;;;;;;03/01/2022;12:00:00 am;;;;03/01/2022;12:00:00 am;;;;;;;;
03/01/2022;12:05:00 am;;;;;;;;;;;;;;03/01/2022;12:05:00 am;;;;03/01/2022;12:05:00 am;;;;;;;;
03/01/2022;12:10:00 am;;;;;;;;;;;;;;03/01/2022;12:10:00 am;;;;03/01/2022;12:10:00 am;;;;;;;;
03/01/2022;12:15:00 am;;;;;;;;;;;;;;03/01/2022;12:15:00 am;;;;03/01/2022;12:15:00 am;;;;;;;;
03/01/2022;12:20:00 am;;;;;;;;;;;;;;03/01/2022;12:20:00 am;;;;03/01/2022;12:20:00 am;;;;;;;;
03/01/2022;12:25:00 am;;;;;;;;;;;;;;03/01/2022;12:25:00 am;;;;03/01/2022;12:25:00 am;;;;;;;;
03/01/2022;12:30:00 am;;;;;;;;;;;;;;03/01/2022;12:30:00 am;;;;03/01/2022;12:30:00 am;;;;;;;;
03/01/2022;12:35:00 am;;;;;;;;;;;;;;03/01/2022;12:35:00 am;;;;03/01/2022;12:35:00 am;;;;;;;;
03/01/2022;12:40:00 am;;;;;;;;;;;;;;03/01/2022;12:40:00 am;;;;03/01/2022;12:40:00 am;;;;;;;;
03/01/2022;12:45:00 am;;;;;;;;;;;;;;03/01/2022;12:45:00 am;;;;03/01/2022;12:45:00 am;;;;;;;;
03/01/2022;12:50:00 am;;;;;;;;;;;;;;03/01/2022;12:50:00 am;;;;03/01/2022;12:50:00 am;;;;;;;;
03/01/2022;12:55:00 am;;;;;;;;;;;;;;03/01/2022;12:55:00 am;;;;03/01/2022;12:55:00 am;;;;;;;;
03/01/2022;1:00:00 am;;;;;;;;;;;;;;03/01/2022;1:00:00 am;;;;03/01/2022;1:00:00 am;;;;;;;;
03/01/2022;1:05:00 am;;;;;;;;;;;;;;03/01/2022;1:05:00 am;;;;03/01/2022;1:05:00 am;;;;;;;;
03/01/2022;1:10:00 am;;;;;;;;;;;;;;03/01/2022;1:10:00 am;;;;03/01/2022;1:10:00 am;;;;;;;;
03/01/2022;1:15:00 am;;;;;;;;;;;;;;03/01/2022;1:15:00 am;;;;03/01/2022;1:15:00 am;;;;;;;;
03/01/2022;1:20:00 am;;;;;;;;;;;;;;03/01/2022;1:20:00 am;;;;03/01/2022;1:20:00 am;;;;;;;;
03/01/2022;1:25:00 am;;;;;;;;;;;;;;03/01/2022;1:25:00 am;;;;03/01/2022;1:25:00 am;;;;;;;;
03/01/2022;1:30:00 am;;;;;;;;;;;;;;03/01/2022;1:30:00 am;;;;03/01/2022;1:30:00 am;;;;;;;;
03/01/2022;1:35:00 am;;;;;;;;;;;;;;03/01/2022;1:35:00 am;;;;03/01/2022;1:35:00 am;;;;;;;;
03/01/2022;1:40:00 am;;;;;;;;;;;;;;03/01/2022;1:40:00 am;;;;03/01/2022;1:40:00 am;;;;;;;;
03/01/2022;1:45:00 am;;;;;;;;;;;;;;03/01/2022;1:45:00 am;;;;03/01/2022;1:45:00 am;;;;;;;;
03/01/2022;1:50:00 am;;;;;;;;;;;;;;03/01/2022;1:50:00 am;;;;03/01/2022;1:50:00 am;;;;;;;;
03/01/2022;1:55:00 am;;;;;;;;;;;;;;03/01/2022;1:55:00 am;;;;03/01/2022;1:55:00 am;;;;;;;;
03/01/2022;2:00:00 am;;;;;;;;;;;;;;03/01/2022;2:00:00 am;;;;03/01/2022;2:00:00 am;;;;;;;;
03/01/2022;2:05:00 am;;;;;;;;;;;;;;03/01/2022;2:05:00 am;;;;03/01/2022;2:05:00 am;;;;;;;;
03/01/2022;2:10:00 am;;;;;;;;;;;;;;03/01/2022;2:10:00 am;;;;03/01/2022;2:10:00 am;;;;;;;;
03/01/2022;2:15:00 am;;;;;;;;;;;;;;03/01/2022;2:15:00 am;;;;03/01/2022;2:15:00 am;;;;;;;;
03/01/2022;2:20:00 am;;;;;;;;;;;;;;03/01/2022;2:20:00 am;;;;03/01/2022;2:20:00 am;;;;;;;;
03/01/2022;2:25:00 am;;;;;;;;;;;;;;03/01/2022;2:25:00 am;;;;03/01/2022;2:25:00 am;;;;;;;;
03/01/2022;2:30:00 am;;;;;;;;;;;;;;03/01/2022;2:30:00 am;;;;03/01/2022;2:30:00 am;;;;;;;;
03/01/2022;2:35:00 am;;;;;;;;;;;;;;03/01/2022;2:35:00 am;;;;03/01/2022;2:35:00 am;;;;;;;;
03/01/2022;2:40:00 am;;;;;;;;;;;;;;03/01/2022;2:40:00 am;;;;03/01/2022;2:40:00 am;;;;;;;;
03/01/2022;2:45:00 am;;;;;;;;;;;;;;03/01/2022;2:45:00 am;;;;03/01/2022;2:45:00 am;;;;;;;;
03/01/2022;2:50:00 am;;;;;;;;;;;;;;03/01/2022;2:50:00 am;;;;03/01/2022;2:50:00 am;;;;;;;;
03/01/2022;2:55:00 am;;;;;;;;;;;;;;03/01/2022;2:55:00 am;;;;03/01/2022;2:55:00 am;;;;;;;;
03/01/2022;3:00:00 am;;;;;;;;;;;;;;03/01/2022;3:00:00 am;;;;03/01/2022;3:00:00 am;;;;;;;;
03/01/2022;3:05:00 am;;;;;;;;;;;;;;03/01/2022;3:05:00 am;;;;03/01/2022;3:05:00 am;;;;;;;;
03/01/2022;3:10:00 am;;;;;;;;;;;;;;03/01/2022;3:10:00 am;;;;03/01/2022;3:10:00 am;;;;;;;;
03/01/2022;3:15:00 am;;;;;;;;;;;;;;03/01/2022;3:15:00 am;;;;03/01/2022;3:15:00 am;;;;;;;;
03/01/2022;3:20:00 am;;;;;;;;;;;;;;03/01/2022;3:20:00 am;;;;03/01/2022;3:20:00 am;;;;;;;;
03/01/2022;3:25:00 am;;;;;;;;;;;;;;03/01/2022;3:25:00 am;;;;03/01/2022;3:25:00 am;;;;;;;;
03/01/2022;3:30:00 am;;;;;;;;;;;;;;03/01/2022;3:30:00 am;;;;03/01/2022;3:30:00 am;;;;;;;;
03/01/2022;3:35:00 am;;;;;;;;;;;;;;03/01/2022;3:35:00 am;;;;03/01/2022;3:35:00 am;;;;;;;;
03/01/2022;3:40:00 am;;;;;;;;;;;;;;03/01/2022;3:40:00 am;;;;03/01/2022;3:40:00 am;;;;;;;;
03/01/2022;3:45:00 am;;;;;;;;;;;;;;03/01/2022;3:45:00 am;;;;03/01/2022;3:45:00 am;;;;;;;;
03/01/2022;3:50:00 am;;;;;;;;;;;;;;03/01/2022;3:50:00 am;;;;03/01/2022;3:50:00 am;;;;;;;;
03/01/2022;3:55:00 am;;;;;;;;;;;;;;03/01/2022;3:55:00 am;;;;03/01/2022;3:55:00 am;;;;;;;;
03/01/2022;4:00:00 am;;;;;;;;;;;;;;03/01/2022;4:00:00 am;;;;03/01/2022;4:00:00 am;;;;;;;;
03/01/2022;4:05:00 am;;;;;;;;;;;;;;03/01/2022;4:05:00 am;;;;03/01/2022;4:05:00 am;;;;;;;;
03/01/2022;4:10:00 am;;;;;;;;;;;;;;03/01/2022;4:10:00 am;;;;03/01/2022;4:10:00 am;;;;;;;;
