date0;time0;power-ss13-max;power-ss13-min;power-ss13-ave;date1;time1;power-gen-max;power-gen-min;power-gen-ave;date2;time2;power-con-max;power-con-min;power-con-ave;date3;time3;power-gen-wt-max;power-gen-wt-min;power-gen-wt-ave;date4;time4;power-gen-pv-max;power-gen-pv-min;power-gen-pv-ave;date5;time5;storage-charge-max;storage-charge-min;storage-charge-ave
05/01/2022;12:00:00 am;963.015;912.661;937.442;05/01/2022;12:00:00 am;102.302;102.302;102.302;05/01/2022;12:00:00 am;1020.588;987.396;1002.760;05/01/2022;12:00:00 am;104.733;47.321;68.054;05/01/2022;12:00:00 am;-2.856;-2.889;-2.871;;;;;
05/01/2022;12:05:00 am;963.226;914.208;942.262;05/01/2022;12:05:00 am;53.299;53.299;53.299;05/01/2022;12:05:00 am;1009.373;976.920;996.216;05/01/2022;12:05:00 am;97.900;24.960;56.641;05/01/2022;12:05:00 am;-2.867;-2.900;-2.887;;;;;
05/01/2022;12:10:00 am;983.022;932.780;958.703;05/01/2022;12:10:00 am;31.050;31.050;31.050;05/01/2022;12:10:00 am;1033.862;989.934;1010.980;05/01/2022;12:10:00 am;79.442;35.632;54.621;05/01/2022;12:10:00 am;-2.882;-2.910;-2.892;;;;;
05/01/2022;12:15:00 am;961.479;913.401;938.648;05/01/2022;12:15:00 am;58.332;58.332;58.332;05/01/2022;12:15:00 am;1015.432;982.664;996.382;05/01/2022;12:15:00 am;73.114;46.782;60.656;05/01/2022;12:15:00 am;-2.886;-2.902;-2.894;;;;;
05/01/2022;12:20:00 am;921.185;895.847;909.784;05/01/2022;12:20:00 am;71.242;71.242;71.242;05/01/2022;12:20:00 am;992.197;959.447;977.266;05/01/2022;12:20:00 am;87.737;49.800;70.465;05/01/2022;12:20:00 am;-2.893;-2.910;-2.899;;;;;
05/01/2022;12:25:00 am;952.977;896.698;924.708;05/01/2022;12:25:00 am;58.872;58.872;58.872;05/01/2022;12:25:00 am;997.201;962.151;980.820;05/01/2022;12:25:00 am;102.998;37.029;58.781;05/01/2022;12:25:00 am;-2.873;-2.903;-2.892;;;;;
05/01/2022;12:30:00 am;951.051;897.899;929.758;05/01/2022;12:30:00 am;35.922;35.922;35.922;05/01/2022;12:30:00 am;1012.695;971.490;991.097;05/01/2022;12:30:00 am;105.452;33.468;64.210;05/01/2022;12:30:00 am;-2.886;-2.902;-2.893;;;;;
05/01/2022;12:35:00 am;906.920;875.498;896.341;05/01/2022;12:35:00 am;81.323;81.323;81.323;05/01/2022;12:35:00 am;1002.128;963.206;984.622;05/01/2022;12:35:00 am;144.144;58.944;99.668;05/01/2022;12:35:00 am;-2.887;-2.915;-2.904;;;;;
05/01/2022;12:40:00 am;957.113;872.357;905.168;05/01/2022;12:40:00 am;60.002;60.002;60.002;05/01/2022;12:40:00 am;998.263;951.230;983.804;05/01/2022;12:40:00 am;143.523;50.134;104.918;05/01/2022;12:40:00 am;-1.339;-2.916;-2.598;;;;;
05/01/2022;12:45:00 am;936.242;887.273;909.598;05/01/2022;12:45:00 am;46.300;46.300;46.300;05/01/2022;12:45:00 am;998.744;941.532;963.134;05/01/2022;12:45:00 am;103.475;46.971;79.198;05/01/2022;12:45:00 am;-1.347;-2.724;-1.489;;;;;
05/01/2022;12:50:00 am;954.889;897.648;928.925;05/01/2022;12:50:00 am;52.333;52.333;52.333;05/01/2022;12:50:00 am;976.736;939.114;962.109;05/01/2022;12:50:00 am;77.748;49.230;59.424;05/01/2022;12:50:00 am;-1.352;-2.743;-2.050;;;;;
05/01/2022;12:55:00 am;976.173;928.456;942.636;05/01/2022;12:55:00 am;30.239;30.239;30.239;05/01/2022;12:55:00 am;980.651;944.503;966.388;05/01/2022;12:55:00 am;69.082;30.965;49.866;05/01/2022;12:55:00 am;-1.339;-2.743;-2.318;;;;;
05/01/2022;1:00:00 am;966.503;932.481;946.506;05/01/2022;1:00:00 am;51.947;51.947;51.947;05/01/2022;1:00:00 am;991.021;948.012;977.175;05/01/2022;1:00:00 am;83.735;32.137;57.171;05/01/2022;1:00:00 am;-1.351;-2.746;-2.462;;;;;
05/01/2022;1:05:00 am;971.950;896.955;933.653;05/01/2022;1:05:00 am;36.653;36.653;36.653;05/01/2022;1:05:00 am;992.979;954.401;972.042;05/01/2022;1:05:00 am;92.845;41.053;65.546;05/01/2022;1:05:00 am;-2.722;-2.740;-2.734;;;;;
05/01/2022;1:10:00 am;960.992;919.163;937.605;05/01/2022;1:10:00 am;18.170;18.170;18.170;05/01/2022;1:10:00 am;974.053;950.237;962.538;05/01/2022;1:10:00 am;69.721;28.504;51.492;05/01/2022;1:10:00 am;-1.356;-2.757;-2.608;;;;;
05/01/2022;1:15:00 am;944.398;887.516;919.545;05/01/2022;1:15:00 am;19.016;19.016;19.016;05/01/2022;1:15:00 am;968.735;932.809;946.853;05/01/2022;1:15:00 am;83.454;38.588;54.056;05/01/2022;1:15:00 am;-1.360;-2.757;-2.606;;;;;
05/01/2022;1:20:00 am;944.420;895.411;916.707;05/01/2022;1:20:00 am;35.737;35.737;35.737;05/01/2022;1:20:00 am;941.659;917.399;933.524;05/01/2022;1:20:00 am;62.840;23.324;43.987;05/01/2022;1:20:00 am;-1.346;-2.760;-2.608;;;;;
05/01/2022;1:25:00 am;926.051;884.510;909.942;05/01/2022;1:25:00 am;2.428;2.428;2.428;05/01/2022;1:25:00 am;935.733;917.123;929.375;05/01/2022;1:25:00 am;74.256;28.679;46.382;05/01/2022;1:25:00 am;-2.736;-2.770;-2.753;;;;;
05/01/2022;1:30:00 am;965.281;909.597;935.420;05/01/2022;1:30:00 am;21.326;21.326;21.326;05/01/2022;1:30:00 am;964.756;935.045;948.967;05/01/2022;1:30:00 am;81.108;12.633;40.791;05/01/2022;1:30:00 am;-2.746;-2.766;-2.756;;;;;
05/01/2022;1:35:00 am;944.710;877.057;907.760;05/01/2022;1:35:00 am;37.601;37.601;37.601;05/01/2022;1:35:00 am;982.311;927.838;952.914;05/01/2022;1:35:00 am;95.861;50.018;72.385;05/01/2022;1:35:00 am;-2.744;-2.772;-2.757;;;;;
05/01/2022;1:40:00 am;949.165;908.395;927.142;05/01/2022;1:40:00 am;6.260;6.260;6.260;05/01/2022;1:40:00 am;952.882;927.114;936.810;05/01/2022;1:40:00 am;60.618;23.972;36.217;05/01/2022;1:40:00 am;-2.748;-2.780;-2.765;;;;;
05/01/2022;1:45:00 am;942.866;865.668;912.072;05/01/2022;1:45:00 am;12.657;12.657;12.657;05/01/2022;1:45:00 am;948.343;932.362;939.203;05/01/2022;1:45:00 am;108.372;19.561;53.620;05/01/2022;1:45:00 am;-2.758;-2.777;-2.769;;;;;
