date0;time0;power-ss13-max;power-ss13-min;power-ss13-ave;date1;time1;power-gen-max;power-gen-min;power-gen-ave;date2;time2;power-con-max;power-con-min;power-con-ave;date3;time3;power-gen-wt-max;power-gen-wt-min;power-gen-wt-ave;date4;time4;power-gen-pv-max;power-gen-pv-min;power-gen-pv-ave;date5;time5;storage-charge-max;storage-charge-min;storage-charge-ave
12/01/2023;12:00:00 am;1790.366;1790.366;1790.366;12/01/2023;12:00:00 am;19.858;19.858;19.858;12/01/2023;12:00:00 am;1803.733;1803.733;1803.733;12/01/2023;12:00:00 am;18.517;18.517;18.517;12/01/2023;12:00:00 am;-2.869;-2.869;-2.869;12/01/2023;12:00:00 am;10.000;10.000;10.000
12/01/2023;12:05:00 am;1768.660;1768.660;1768.660;12/01/2023;12:05:00 am;13.360;13.360;13.360;12/01/2023;12:05:00 am;1773.066;1773.066;1773.066;12/01/2023;12:05:00 am;9.932;9.932;9.932;12/01/2023;12:05:00 am;-2.845;-2.845;-2.845;12/01/2023;12:05:00 am;10.000;10.000;10.000
12/01/2023;12:10:00 am;1778.968;1778.968;1778.968;12/01/2023;12:10:00 am;4.699;4.699;4.699;12/01/2023;12:10:00 am;1781.213;1781.213;1781.213;12/01/2023;12:10:00 am;9.815;9.815;9.815;12/01/2023;12:10:00 am;-2.948;-2.948;-2.948;12/01/2023;12:10:00 am;10.000;10.000;10.000
12/01/2023;12:15:00 am;1805.569;1805.569;1805.569;12/01/2023;12:15:00 am;2.269;2.269;2.269;12/01/2023;12:15:00 am;1813.777;1813.777;1813.777;12/01/2023;12:15:00 am;14.320;14.320;14.320;12/01/2023;12:15:00 am;-2.931;-2.931;-2.931;12/01/2023;12:15:00 am;10.000;10.000;10.000
12/01/2023;12:20:00 am;1850.398;1850.398;1850.398;12/01/2023;12:20:00 am;7.952;7.952;7.952;12/01/2023;12:20:00 am;1871.337;1871.337;1871.337;12/01/2023;12:20:00 am;26.523;26.523;26.523;12/01/2023;12:20:00 am;-2.897;-2.897;-2.897;12/01/2023;12:20:00 am;10.000;10.000;10.000
12/01/2023;12:25:00 am;1811.419;1811.419;1811.419;12/01/2023;12:25:00 am;21.172;21.172;21.172;12/01/2023;12:25:00 am;1842.075;1842.075;1842.075;12/01/2023;12:25:00 am;36.252;36.252;36.252;12/01/2023;12:25:00 am;-2.898;-2.898;-2.898;12/01/2023;12:25:00 am;10.000;10.000;10.000
12/01/2023;12:30:00 am;1772.709;1772.709;1772.709;12/01/2023;12:30:00 am;30.679;30.679;30.679;12/01/2023;12:30:00 am;1807.652;1807.652;1807.652;12/01/2023;12:30:00 am;40.523;40.523;40.523;12/01/2023;12:30:00 am;-2.887;-2.887;-2.887;12/01/2023;12:30:00 am;10.000;10.000;10.000
12/01/2023;12:35:00 am;1809.890;1809.890;1809.890;12/01/2023;12:35:00 am;34.942;34.942;34.942;12/01/2023;12:35:00 am;1867.356;1867.356;1867.356;12/01/2023;12:35:00 am;62.291;62.291;62.291;12/01/2023;12:35:00 am;-2.868;-2.868;-2.868;12/01/2023;12:35:00 am;10.000;10.000;10.000
12/01/2023;12:40:00 am;1938.042;1938.042;1938.042;12/01/2023;12:40:00 am;56.737;56.737;56.737;12/01/2023;12:40:00 am;2001.997;2001.997;2001.997;12/01/2023;12:40:00 am;69.209;69.209;69.209;12/01/2023;12:40:00 am;-2.875;-2.875;-2.875;12/01/2023;12:40:00 am;10.000;10.000;10.000
12/01/2023;12:45:00 am;1905.504;1905.504;1905.504;12/01/2023;12:45:00 am;64.160;64.160;64.160;12/01/2023;12:45:00 am;1996.732;1996.732;1996.732;12/01/2023;12:45:00 am;96.800;96.800;96.800;12/01/2023;12:45:00 am;-2.888;-2.888;-2.888;12/01/2023;12:45:00 am;10.000;10.000;10.000
