date0;time0;power-ss13-max;power-ss13-min;power-ss13-ave;date1;time1;power-gen-max;power-gen-min;power-gen-ave;date2;time2;power-con-max;power-con-min;power-con-ave;date3;time3;power-gen-wt-max;power-gen-wt-min;power-gen-wt-ave;date4;time4;power-gen-pv-max;power-gen-pv-min;power-gen-pv-ave;date5;time5;storage-charge-max;storage-charge-min;storage-charge-ave
05/01/2023;12:00:00 am;1629.534;1629.534;1629.534;05/01/2023;12:00:00 am;97.880;97.880;97.880;05/01/2023;12:00:00 am;1672.752;1672.752;1672.752;05/01/2023;12:00:00 am;47.073;47.073;47.073;05/01/2023;12:00:00 am;-2.780;-2.780;-2.780;05/01/2023;12:00:00 am;56.000;56.000;56.000
05/01/2023;12:05:00 am;1446.231;1446.231;1446.231;05/01/2023;12:05:00 am;43.219;43.219;43.219;05/01/2023;12:05:00 am;1560.326;1560.326;1560.326;05/01/2023;12:05:00 am;117.961;117.961;117.961;05/01/2023;12:05:00 am;-2.796;-2.796;-2.796;05/01/2023;12:05:00 am;56.000;56.000;56.000
05/01/2023;12:10:00 am;1406.510;1406.510;1406.510;05/01/2023;12:10:00 am;114.095;114.095;114.095;05/01/2023;12:10:00 am;1516.758;1516.758;1516.758;05/01/2023;12:10:00 am;114.139;114.139;114.139;05/01/2023;12:10:00 am;-2.808;-2.808;-2.808;05/01/2023;12:10:00 am;56.000;56.000;56.000
05/01/2023;12:15:00 am;1871.819;1871.819;1871.819;05/01/2023;12:15:00 am;110.255;110.255;110.255;05/01/2023;12:15:00 am;1940.915;1940.915;1940.915;05/01/2023;12:15:00 am;72.968;72.968;72.968;05/01/2023;12:15:00 am;-2.788;-2.788;-2.788;05/01/2023;12:15:00 am;56.000;56.000;56.000
05/01/2023;12:20:00 am;1655.874;1655.874;1655.874;05/01/2023;12:20:00 am;69.096;69.096;69.096;05/01/2023;12:20:00 am;1751.731;1751.731;1751.731;05/01/2023;12:20:00 am;99.478;99.478;99.478;05/01/2023;12:20:00 am;-2.804;-2.804;-2.804;05/01/2023;12:20:00 am;56.000;56.000;56.000
05/01/2023;12:25:00 am;1647.284;1647.284;1647.284;05/01/2023;12:25:00 am;95.710;95.710;95.710;05/01/2023;12:25:00 am;1740.979;1740.979;1740.979;05/01/2023;12:25:00 am;98.441;98.441;98.441;05/01/2023;12:25:00 am;-2.789;-2.789;-2.789;05/01/2023;12:25:00 am;56.000;56.000;56.000
05/01/2023;12:30:00 am;1750.594;1750.594;1750.594;05/01/2023;12:30:00 am;94.561;94.561;94.561;05/01/2023;12:30:00 am;1848.576;1848.576;1848.576;05/01/2023;12:30:00 am;101.815;101.815;101.815;05/01/2023;12:30:00 am;-2.778;-2.778;-2.778;05/01/2023;12:30:00 am;56.000;56.000;56.000
05/01/2023;12:35:00 am;1672.637;1672.637;1672.637;05/01/2023;12:35:00 am;98.730;98.730;98.730;05/01/2023;12:35:00 am;1805.542;1805.542;1805.542;05/01/2023;12:35:00 am;136.778;136.778;136.778;05/01/2023;12:35:00 am;-2.792;-2.792;-2.792;05/01/2023;12:35:00 am;56.000;56.000;56.000
05/01/2023;12:40:00 am;1642.198;1642.198;1642.198;05/01/2023;12:40:00 am;132.905;132.905;132.905;05/01/2023;12:40:00 am;1738.251;1738.251;1738.251;05/01/2023;12:40:00 am;99.913;99.913;99.913;05/01/2023;12:40:00 am;-2.782;-2.782;-2.782;05/01/2023;12:40:00 am;56.000;56.000;56.000
05/01/2023;12:45:00 am;1761.203;1761.203;1761.203;05/01/2023;12:45:00 am;96.065;96.065;96.065;05/01/2023;12:45:00 am;1819.940;1819.940;1819.940;05/01/2023;12:45:00 am;62.634;62.634;62.634;05/01/2023;12:45:00 am;-2.795;-2.795;-2.795;05/01/2023;12:45:00 am;56.000;56.000;56.000
05/01/2023;12:50:00 am;1643.757;1643.757;1643.757;05/01/2023;12:50:00 am;58.738;58.738;58.738;05/01/2023;12:50:00 am;1733.119;1733.119;1733.119;05/01/2023;12:50:00 am;93.243;93.243;93.243;05/01/2023;12:50:00 am;-2.791;-2.791;-2.791;05/01/2023;12:50:00 am;56.000;56.000;56.000
05/01/2023;12:55:00 am;1718.406;1718.406;1718.406;05/01/2023;12:55:00 am;89.362;89.362;89.362;05/01/2023;12:55:00 am;1794.313;1794.313;1794.313;05/01/2023;12:55:00 am;79.804;79.804;79.804;05/01/2023;12:55:00 am;-2.810;-2.810;-2.810;05/01/2023;12:55:00 am;56.000;56.000;56.000
05/01/2023;1:00:00 am;;;;05/01/2023;1:00:00 am;75.907;75.907;75.907;05/01/2023;1:00:00 am;;;;05/01/2023;1:00:00 am;;;;05/01/2023;1:00:00 am;;;;05/01/2023;1:00:00 am;;;
05/01/2023;1:05:00 am;1327.610;1327.610;1327.610;05/01/2023;1:05:00 am;75.907;75.907;75.907;05/01/2023;1:05:00 am;1401.841;1401.841;1401.841;05/01/2023;1:05:00 am;78.141;78.141;78.141;05/01/2023;1:05:00 am;-2.829;-2.829;-2.829;05/01/2023;1:05:00 am;56.000;56.000;56.000
05/01/2023;1:10:00 am;1365.225;1365.225;1365.225;05/01/2023;1:10:00 am;74.230;74.230;74.230;05/01/2023;1:10:00 am;1429.415;1429.415;1429.415;05/01/2023;1:10:00 am;68.733;68.733;68.733;05/01/2023;1:10:00 am;-2.838;-2.838;-2.838;05/01/2023;1:10:00 am;56.000;56.000;56.000
05/01/2023;1:15:00 am;1385.433;1385.433;1385.433;05/01/2023;1:15:00 am;64.170;64.170;64.170;05/01/2023;1:15:00 am;1422.194;1422.194;1422.194;05/01/2023;1:15:00 am;41.114;41.114;41.114;05/01/2023;1:15:00 am;-2.831;-2.831;-2.831;05/01/2023;1:15:00 am;56.000;56.000;56.000
05/01/2023;1:20:00 am;1338.628;1338.628;1338.628;05/01/2023;1:20:00 am;37.225;37.225;37.225;05/01/2023;1:20:00 am;1386.584;1386.584;1386.584;05/01/2023;1:20:00 am;50.566;50.566;50.566;05/01/2023;1:20:00 am;-1.302;-1.302;-1.302;05/01/2023;1:20:00 am;56.000;56.000;56.000
05/01/2023;1:25:00 am;1453.593;1453.593;1453.593;05/01/2023;1:25:00 am;48.193;48.193;48.193;05/01/2023;1:25:00 am;1512.127;1512.127;1512.127;05/01/2023;1:25:00 am;60.901;60.901;60.901;05/01/2023;1:25:00 am;-1.297;-1.297;-1.297;05/01/2023;1:25:00 am;56.000;56.000;56.000
05/01/2023;1:30:00 am;1545.730;1545.730;1545.730;05/01/2023;1:30:00 am;58.513;58.513;58.513;05/01/2023;1:30:00 am;1583.480;1583.480;1583.480;05/01/2023;1:30:00 am;37.980;37.980;37.980;05/01/2023;1:30:00 am;0.000;0.000;0.000;05/01/2023;1:30:00 am;56.000;56.000;56.000
05/01/2023;1:35:00 am;1806.441;1806.441;1806.441;05/01/2023;1:35:00 am;37.754;37.754;37.754;05/01/2023;1:35:00 am;1827.016;1827.016;1827.016;05/01/2023;1:35:00 am;24.503;24.503;24.503;05/01/2023;1:35:00 am;-2.833;-2.833;-2.833;05/01/2023;1:35:00 am;56.000;56.000;56.000
05/01/2023;1:40:00 am;1644.721;1644.721;1644.721;05/01/2023;1:40:00 am;20.595;20.595;20.595;05/01/2023;1:40:00 am;1668.388;1668.388;1668.388;05/01/2023;1:40:00 am;25.944;25.944;25.944;05/01/2023;1:40:00 am;-2.827;-2.827;-2.827;05/01/2023;1:40:00 am;56.000;56.000;56.000
05/01/2023;1:45:00 am;1735.924;1735.924;1735.924;05/01/2023;1:45:00 am;22.728;22.728;22.728;05/01/2023;1:45:00 am;1778.427;1778.427;1778.427;05/01/2023;1:45:00 am;46.402;46.402;46.402;05/01/2023;1:45:00 am;-2.811;-2.811;-2.811;05/01/2023;1:45:00 am;56.000;56.000;56.000
05/01/2023;1:50:00 am;1679.571;1679.571;1679.571;05/01/2023;1:50:00 am;42.503;42.503;42.503;05/01/2023;1:50:00 am;1711.898;1711.898;1711.898;05/01/2023;1:50:00 am;36.248;36.248;36.248;05/01/2023;1:50:00 am;-2.812;-2.812;-2.812;05/01/2023;1:50:00 am;56.000;56.000;56.000
